Accession,SRR accession,Ethambutol,Isoniazid,Pyrazinamide,Rifampicin,Isolate
SAMEA1018855,ERR046876,S,S,S,S,SAMEA1018855
SAMEA1016026,ERR067728,S,S,S,S,SAMEA1016026
SAMEA1403550,ERR133868,S,R,S,R,SAMEA1403550
SAMEA1019267,ERR046762,S,S,S,S,SAMEA1019267
SAMEA1019013,ERR046997,S,S,S,S,SAMEA1019013
SAMEA1019228,ERR046980,S,S,S,S,SAMEA1019228
SAMEA1019248,ERR046763,S,S,S,S,SAMEA1019248
SAMEA1015998,ERR067744,S,R,R,S,SAMEA1015998
SAMEA1016030,ERR067612,R,R,S,R,SAMEA1016030
SAMEA1019210,ERR046958,S,S,S,S,SAMEA1019210
SAMEA1015979,ERR067717,R,R,S,R,SAMEA1015979
SAMEA1016130,ERR067606,S,R,S,R,SAMEA1016130
SAMEA1018863,ERR046845,S,S,S,S,SAMEA1018863
SAMEA1018999,ERR072047,S,S,S,S,SAMEA1018999
SAMEA1019032,ERR046930,S,S,S,S,SAMEA1019032
SAMEA1018995,ERR046756,S,S,S,S,SAMEA1018995
SAMEA1019288,ERR072040,S,S,S,S,SAMEA1019288
SAMEA1016178,ERR067703,S,S,S,S,SAMEA1016178
SAMEA1016104,ERR067751,S,S,S,S,SAMEA1016104
SAMEA1019012,ERR046776,S,S,S,S,SAMEA1019012
SAMEA1016134,ERR067629,R,R,R,R,SAMEA1016134
SAMEA1016202,ERR067704,S,S,S,S,SAMEA1016202
SAMEA1018904,ERR046880,S,S,S,S,SAMEA1018904
SAMEA1018838,ERR046834,S,R,S,S,SAMEA1018838
SAMEA1016023,ERR067648,S,S,S,S,SAMEA1016023
SAMEA1018931,ERR072026,S,S,S,S,SAMEA1018931
SAMEA1016101,ERR067722,S,S,S,S,SAMEA1016101
SAMEA1016197,ERR067659,R,R,R,R,SAMEA1016197
SAMEA1019145,ERR046908,S,S,S,S,SAMEA1019145
SAMEA1019053,ERR047007,S,S,S,S,SAMEA1019053
SAMEA104394386,ERR2199740,S,S,S,S,SAMEA104394386
SAMEA1016077,ERR067747,S,R,S,S,SAMEA1016077
SAMEA1019064,ERR046765,S,S,S,S,SAMEA1019064
SAMEA1018912,ERR046842,S,S,S,S,SAMEA1018912
SAMEA1015944,ERR067614,R,R,R,R,SAMEA1015944
SAMEA1019137,ERR072095,S,S,S,S,SAMEA1019137
SAMEA1015995,ERR067766,S,S,S,S,SAMEA1015995
SAMEA104394619,ERR2200027,S,S,S,S,SAMEA104394619
SAMEA1019022,ERR046781,S,S,S,S,SAMEA1019022
SAMEA1019202,ERR046797,S,S,S,S,SAMEA1019202
SAMEA1019021,ERR046929,S,S,S,S,SAMEA1019021
SAMEA1018967,ERR046758,S,S,S,S,SAMEA1018967
SAMEA1016010,ERR067638,S,R,S,S,SAMEA1016010
SAMEA1015961,ERR067742,S,S,S,S,SAMEA1015961
SAMEA1019113,ERR046891,S,S,S,S,SAMEA1019113
SAMEA1018890,ERR046846,S,S,S,S,SAMEA1018890
SAMEA104394492,ERR2199885,S,S,S,S,SAMEA104394492
SAMEA1019185,ERR046959,S,S,S,S,SAMEA1019185
SAMEA1018929,ERR046990,S,S,S,S,SAMEA1018929
SAMEA1019006,ERR047011,S,S,S,S,SAMEA1019006
SAMEA1019120,ERR046970,S,S,S,S,SAMEA1019120
SAMEA1019028,ERR046791,S,S,S,S,SAMEA1019028
SAMEA1019245,ERR072065,S,S,S,S,SAMEA1019245
SAMEA1016097,ERR067759,S,S,S,S,SAMEA1016097
SAMEA1019197,ERR072036,S,S,S,S,SAMEA1019197
SAMEA1015931,ERR067577,S,R,S,R,SAMEA1015931
SAMEA1019171,ERR046784,R,R,S,S,SAMEA1019171
SAMEA1018975,ERR047009,S,S,S,S,SAMEA1018975
SAMEA1018943,ERR046936,S,S,S,S,SAMEA1018943
SAMEA1016163,ERR067709,S,S,S,S,SAMEA1016163
SAMEA1019258,ERR046924,S,S,S,S,SAMEA1019258
SAMEA1019031,ERR046754,S,S,S,S,SAMEA1019031
SAMEA1019308,ERR046966,S,S,S,S,SAMEA1019308
SAMEA1019143,ERR046922,S,S,S,S,SAMEA1019143
SAMEA1019249,ERR046919,S,S,S,S,SAMEA1019249
SAMEA1015951,ERR067578,S,R,S,R,SAMEA1015951
SAMEA1019085,ERR046932,S,S,S,S,SAMEA1019085
SAMEA1019266,ERR046865,S,S,S,S,SAMEA1019266
SAMEA1015940,ERR067615,R,R,S,R,SAMEA1015940
SAMEA1019286,ERR046969,S,S,S,S,SAMEA1019286
SAMEA1016044,ERR067713,S,S,S,S,SAMEA1016044
SAMEA1019222,ERR046730,S,R,S,S,SAMEA1019222
SAMEA1019062,ERR046887,S,S,S,S,SAMEA1019062
SAMEA1019049,ERR046764,S,S,S,S,SAMEA1019049
SAMEA1016152,ERR067618,R,R,S,R,SAMEA1016152
SAMEA104172469,ERR2041701,R,R,R,R,SAMEA104172469
SAMEA1019034,ERR046872,S,S,S,S,SAMEA1019034
SAMEA1016073,ERR067605,S,R,S,R,SAMEA1016073
SAMEA1016053,ERR067650,R,R,S,S,SAMEA1016053
SAMEA1019164,ERR046881,S,S,S,S,SAMEA1019164
SAMEA1016034,ERR067651,R,R,S,R,SAMEA1016034
SAMEA1016162,ERR067752,S,S,S,S,SAMEA1016162
SAMEA1019303,ERR046901,S,S,S,S,SAMEA1019303
SAMEA1019211,ERR046863,S,S,S,S,SAMEA1019211
SAMEA1016090,ERR067763,S,S,S,S,SAMEA1016090
SAMEA1019004,ERR072051,S,S,S,S,SAMEA1019004
SAMEA1019146,ERR046923,S,S,S,S,SAMEA1019146
SAMEA1019094,ERR046749,S,S,R,S,SAMEA1019094
SAMEA1018928,ERR046975,S,S,S,S,SAMEA1018928
SAMEA1015949,ERR067594,R,R,S,R,SAMEA1015949
SAMEA1016185,ERR067705,S,S,S,S,SAMEA1016185
SAMEA1018864,ERR046855,S,R,S,R,SAMEA1018864
SAMEA1019274,ERR072021,S,S,S,S,SAMEA1019274
SAMEA1019299,ERR046957,S,S,S,S,SAMEA1019299
SAMEA1019056,ERR046860,S,S,S,S,SAMEA1019056
SAMEA1019055,ERR046832,S,S,S,S,SAMEA1019055
SAMEA1018891,ERR072046,S,S,S,S,SAMEA1018891
SAMEA1018843,ERR046767,S,S,S,S,SAMEA1018843
SAMEA1019041,ERR046792,R,S,S,S,SAMEA1019041
SAMEA1016114,ERR067640,S,R,S,S,SAMEA1016114
SAMEA1018948,ERR046946,S,S,S,S,SAMEA1018948
SAMEA1018959,ERR046841,S,S,S,S,SAMEA1018959
SAMEA1016100,ERR067662,R,R,S,R,SAMEA1016100
SAMEA1019011,ERR046755,S,S,S,S,SAMEA1019011
SAMEA1018945,ERR046993,S,S,S,S,SAMEA1018945
SAMEA1015932,ERR067692,S,R,S,R,SAMEA1015932
SAMEA1018914,ERR046773,S,S,S,S,SAMEA1018914
SAMEA1019323,ERR072089,S,S,S,S,SAMEA1019323
SAMEA1018839,ERR046875,S,S,S,S,SAMEA1018839
SAMEA1019110,ERR046820,S,S,S,S,SAMEA1019110
SAMEA1019066,ERR046874,S,S,S,S,SAMEA1019066
SAMEA1019047,ERR046873,S,S,S,S,SAMEA1019047
SAMEA1019233,ERR046732,S,S,S,S,SAMEA1019233
SAMEA1016117,ERR067724,S,R,S,R,SAMEA1016117
SAMEA1403548,ERR144563,R,R,S,R,SAMEA1403548
SAMEA1015957,ERR067667,S,R,S,S,SAMEA1015957
SAMEA1019272,ERR046968,S,S,S,S,SAMEA1019272
SAMEA1015980,ERR067719,S,R,S,S,SAMEA1015980
SAMEA1016143,ERR067739,S,S,S,S,SAMEA1016143
SAMEA1019016,ERR047005,S,S,S,S,SAMEA1019016
SAMEA1019095,ERR046786,S,R,S,S,SAMEA1019095
SAMEA1019224,ERR046867,S,S,S,S,SAMEA1019224
SAMEA1016129,ERR067621,S,R,S,R,SAMEA1016129
SAMEA1019315,ERR046914,S,S,S,S,SAMEA1019315
SAMEA1019167,ERR046800,S,S,S,S,SAMEA1019167
SAMEA1016167,ERR067688,S,R,S,R,SAMEA1016167
SAMEA104172484,ERR2041710,S,R,R,R,SAMEA104172484
SAMEA1019194,ERR046761,S,S,S,S,SAMEA1019194
SAMEA1019219,ERR046965,S,S,S,S,SAMEA1019219
SAMEA1016182,ERR067643,S,S,S,S,SAMEA1016182
SAMEA1019265,ERR046905,S,S,S,S,SAMEA1019265
SAMEA1019093,ERR046894,S,S,S,S,SAMEA1019093
SAMEA1019166,ERR072028,S,S,S,S,SAMEA1019166
SAMEA1019318,ERR046861,S,S,S,S,SAMEA1019318
SAMEA1019257,ERR046981,S,R,S,S,SAMEA1019257
SAMEA1018850,ERR072034,S,S,S,S,SAMEA1018850
SAMEA1016004,ERR067600,S,R,S,R,SAMEA1016004
SAMEA1019134,ERR046789,S,R,S,S,SAMEA1019134
SAMEA1016165,ERR067656,S,R,S,R,SAMEA1016165
SAMEA1018957,ERR046840,S,S,S,S,SAMEA1018957
SAMEA1015941,ERR067652,S,R,S,R,SAMEA1015941
SAMEA1019244,ERR072024,S,S,S,S,SAMEA1019244
SAMEA1019282,ERR072022,S,S,S,S,SAMEA1019282
SAMEA1016186,ERR067617,S,R,R,R,SAMEA1016186
SAMEA1018918,ERR046950,S,S,S,S,SAMEA1018918
SAMEA1019067,ERR046889,S,S,S,S,SAMEA1019067
SAMEA1015987,ERR067745,S,S,S,S,SAMEA1015987
SAMEA1019214,ERR072023,S,S,S,S,SAMEA1019214
SAMEA1016007,ERR067598,S,R,S,R,SAMEA1016007
SAMEA1019256,ERR046733,S,S,S,S,SAMEA1019256
SAMEA1019065,ERR046780,S,R,S,S,SAMEA1019065
SAMEA1019008,ERR046942,S,S,S,S,SAMEA1019008
SAMEA1015936,ERR067678,S,R,S,R,SAMEA1015936
SAMEA1018934,ERR046837,S,S,S,S,SAMEA1018934
SAMEA1018901,ERR046963,S,S,S,S,SAMEA1018901
SAMEA1019301,ERR072041,S,S,S,S,SAMEA1019301
SAMEA1019204,ERR072025,S,S,S,S,SAMEA1019204
SAMEA1019121,ERR046819,S,S,S,S,SAMEA1019121
SAMEA1019293,ERR046917,R,R,R,R,SAMEA1019293
SAMEA1018924,ERR046964,S,S,S,S,SAMEA1018924
SAMEA1016201,ERR067616,S,R,R,R,SAMEA1016201
SAMEA1019317,ERR072050,S,S,S,S,SAMEA1019317
SAMEA1018913,ERR047004,S,S,S,S,SAMEA1018913
SAMEA1015943,ERR067671,S,R,S,R,SAMEA1015943
SAMEA1016148,ERR067591,S,R,S,R,SAMEA1016148
SAMEA1019276,ERR046918,S,S,S,S,SAMEA1019276
SAMEA1019139,ERR046745,S,S,S,S,SAMEA1019139
SAMEA1015954,ERR067680,R,R,R,R,SAMEA1015954
SAMEA1016054,ERR067635,S,S,S,S,SAMEA1016054
SAMEA1019309,ERR046752,S,S,S,S,SAMEA1019309
SAMEA1019181,ERR046895,S,S,S,S,SAMEA1019181
SAMEA1019302,ERR046915,S,S,S,S,SAMEA1019302
SAMEA1016075,ERR067697,S,S,S,S,SAMEA1016075
SAMEA1018870,ERR046878,S,S,S,S,SAMEA1018870
SAMEA1019259,ERR046794,S,S,S,S,SAMEA1019259
SAMEA1018886,ERR046879,S,S,S,S,SAMEA1018886
SAMEA1018927,ERR047013,S,S,S,S,SAMEA1018927
SAMEA1018905,ERR072087,S,S,S,S,SAMEA1018905
SAMEA1016145,ERR067757,R,R,R,R,SAMEA1016145
SAMEA104394701,ERR2200129,S,S,S,S,SAMEA104394701
SAMEA1019043,ERR046995,S,S,S,S,SAMEA1019043
SAMEA1019017,ERR046890,S,S,S,S,SAMEA1019017
SAMEA1016072,ERR067735,S,R,S,R,SAMEA1016072
SAMEA1019084,ERR046822,S,S,S,S,SAMEA1019084
SAMEA1019077,ERR046888,S,S,S,S,SAMEA1019077
SAMEA1019108,ERR072019,S,S,S,S,SAMEA1019108
SAMEA104172419,ERR2041705,S,R,R,R,SAMEA104172419
SAMEA1016196,ERR067644,R,R,R,R,SAMEA1016196
SAMEA1019297,ERR072080,S,S,S,S,SAMEA1019297
SAMEA1018856,ERR046859,S,S,S,S,SAMEA1018856
SAMEA1018871,ERR046769,S,S,S,S,SAMEA1018871
SAMEA1019189,ERR046760,S,S,S,S,SAMEA1019189
SAMEA1019306,ERR046824,S,S,S,S,SAMEA1019306
SAMEA1018892,ERR046857,S,S,S,S,SAMEA1018892
SAMEA1019150,ERR072030,S,S,S,S,SAMEA1019150
SAMEA1019271,ERR046982,S,S,S,S,SAMEA1019271
SAMEA1019305,ERR046737,S,S,S,S,SAMEA1019305
SAMEA1019163,ERR046785,S,S,S,S,SAMEA1019163
SAMEA1016120,ERR067750,S,S,S,S,SAMEA1016120
SAMEA1015959,ERR067690,S,S,S,R,SAMEA1015959
SAMEA1018878,ERR046988,S,S,S,S,SAMEA1018878
SAMEA1016146,ERR067689,S,S,S,S,SAMEA1016146
SAMEA1015969,ERR067580,S,R,S,R,SAMEA1015969
SAMEA1018872,ERR072045,S,S,S,S,SAMEA1018872
SAMEA1016045,ERR067727,S,R,R,S,SAMEA1016045
SAMEA1015977,ERR067691,S,S,S,S,SAMEA1015977
SAMEA1019321,ERR046738,S,S,S,S,SAMEA1019321
SAMEA104172420,ERR2041715,S,R,R,R,SAMEA104172420
SAMEA1016171,ERR067755,S,R,S,S,SAMEA1016171
SAMEA1019179,ERR046799,S,S,S,S,SAMEA1019179
SAMEA1015997,ERR067609,R,R,S,R,SAMEA1015997
SAMEA104172459,ERR2041790,R,R,R,R,SAMEA104172459
SAMEA1019313,ERR046916,S,S,S,S,SAMEA1019313
SAMEA1019183,ERR046798,S,S,S,S,SAMEA1019183
SAMEA1018907,ERR046771,S,S,S,S,SAMEA1018907
SAMEA1016124,ERR067761,S,S,S,S,SAMEA1016124
SAMEA104394505,ERR2199899,S,S,S,S,SAMEA104394505
SAMEA1019058,ERR046926,S,S,S,S,SAMEA1019058
SAMEA1015990,ERR067694,S,R,S,S,SAMEA1015990
SAMEA1016098,ERR067584,R,R,S,R,SAMEA1016098
SAMEA1019037,ERR046871,S,S,S,S,SAMEA1019037
SAMEA1019033,ERR046782,S,S,S,S,SAMEA1019033
SAMEA1018994,ERR046882,S,S,S,S,SAMEA1018994
SAMEA1016071,ERR067720,S,S,S,S,SAMEA1016071
SAMEA1019253,ERR046960,S,S,S,S,SAMEA1019253
SAMEA1019054,ERR046850,S,S,S,S,SAMEA1019054
SAMEA1016118,ERR067760,S,S,S,S,SAMEA1016118
SAMEA1015989,ERR067716,S,R,S,S,SAMEA1015989
SAMEA1016005,ERR067666,R,R,R,S,SAMEA1016005
SAMEA1018883,ERR046952,S,S,S,S,SAMEA1018883
SAMEA1018896,ERR046839,S,S,S,S,SAMEA1018896
SAMEA1019071,ERR047006,S,S,S,S,SAMEA1019071
SAMEA1016184,ERR067756,S,R,R,R,SAMEA1016184
SAMEA1019101,ERR046751,S,S,S,S,SAMEA1019101
SAMEA1015985,ERR067581,S,R,S,R,SAMEA1015985
SAMEA1019109,ERR072077,S,S,S,S,SAMEA1019109
SAMEA1016190,ERR067685,S,S,S,S,SAMEA1016190
SAMEA1016161,ERR067708,S,S,S,S,SAMEA1016161
SAMEA1016088,ERR067683,S,R,S,R,SAMEA1016088
SAMEA1019126,ERR046972,S,S,S,S,SAMEA1019126
SAMEA1015923,ERR067740,S,R,S,R,SAMEA1015923
SAMEA1018840,ERR072042,S,S,S,S,SAMEA1018840
SAMEA1016191,ERR067706,S,S,S,S,SAMEA1016191
SAMEA1016013,ERR067715,S,S,S,S,SAMEA1016013
SAMEA1016181,ERR067632,S,R,S,S,SAMEA1016181
SAMEA104394428,ERR2199803,S,S,S,S,SAMEA104394428
SAMEA1403549,ERR144630,S,S,S,S,SAMEA1403549
SAMN20693418,SRR16370230,S,S,S,S,IDR1600020177
SAMN20693435,SRR16370211,S,S,S,S,IDR1600023715
SAMN20693374,SRR16370278,S,S,S,S,IDR1600003836
SAMN20693371,SRR16370283,S,S,S,S,IDR1600003497
SAMN20693466,SRR16370677,S,S,S,S,IDR1600031131
SAMN20693482,SRR16370659,S,S,S,S,IDR1600035065
SAMN20693513,SRR16370624,S,S,S,S,IDR1600041577
SAMN20693314,SRR16370345,S,S,S,S,IDR1500062511
SAMN20693406,SRR16370243,S,R,S,S,IDR1600017137
